2025-11-24 14:48:40.881 [tick=4232062] [pid=18376] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:40.881 [tick=4232062] [pid=18376] [INFO] [WorkerHost] pid=18376 | start
2025-11-24 14:48:41.148 [tick=4232328] [pid=18376] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=18376 | fire start
2025-11-24 14:48:41.153 [tick=4232343] [pid=18376] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=18376 | fire sent
2025-11-24 14:48:41.396 [tick=4232578] [pid=2088] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:41.396 [tick=4232578] [pid=2088] [INFO] [WorkerHost] pid=2088 | start
2025-11-24 14:48:41.447 [tick=4232625] [pid=9408] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:41.447 [tick=4232625] [pid=9408] [INFO] [WorkerHost] pid=9408 | start
2025-11-24 14:48:41.665 [tick=4232843] [pid=2088] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=2088 | fire start
2025-11-24 14:48:41.668 [tick=4232859] [pid=2088] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=2088 | fire sent
2025-11-24 14:48:41.695 [tick=4232875] [pid=9408] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=9408 | fire start
2025-11-24 14:48:41.699 [tick=4232890] [pid=9408] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=9408 | fire sent
2025-11-24 14:48:41.937 [tick=4233125] [pid=17016] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:41.937 [tick=4233125] [pid=17016] [INFO] [WorkerHost] pid=17016 | start
2025-11-24 14:48:42.207 [tick=4233390] [pid=17016] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=17016 | fire start
2025-11-24 14:48:42.217 [tick=4233406] [pid=17016] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=17016 | fire sent
2025-11-24 14:48:42.452 [tick=4233640] [pid=3876] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:42.452 [tick=4233640] [pid=3876] [INFO] [WorkerHost] pid=3876 | start
2025-11-24 14:48:42.726 [tick=4233906] [pid=3876] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=3876 | fire start
2025-11-24 14:48:42.733 [tick=4233921] [pid=3876] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=3876 | fire sent
2025-11-24 14:48:42.977 [tick=4234156] [pid=19024] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:42.977 [tick=4234156] [pid=19024] [INFO] [WorkerHost] pid=19024 | start
2025-11-24 14:48:43.239 [tick=4234421] [pid=19024] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=19024 | fire start
